,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
0,Snow White and the Seven Dwarfs (1937),7.6,"Animation, Family, Fantasy",83 min,William Cottrell,"David Hand,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen,Adriana Caselotti,Harry Stockwell,Lucille La Verne,Roy Atwell,","181,664",U
1,Pinocchio (1940),7.4,"Animation, Comedy, Family",88 min,Norman Ferguson,"T. Hee,Wilfred Jackson,Jack Kinney,Hamilton Luske,Bill Roberts,Ben Sharpsteen,Dickie Jones,Christian Rub,Mel Blanc,Billy Bletcher,","131,447",G
2,Fantasia (1940),7.7,"Animation, Family, Fantasy",125 min,James Algar,"Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,Jim Handley,T. Hee,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,Ben Sharpsteen,Leopold Stokowski,Deems Taylor,The Philadelphia Orchestra,Corey Burton,","88,692",
3,The Reluctant Dragon (I) (1941),6.9,"Animation, Comedy, Family",74 min,Alfred L. Werker,"Hamilton Luske,Jack Cutting,Ub Iwerks,Jack Kinney,Robert Benchley,Frances Gifford,Buddy Pepper,Nana Bryant,","2,791",
4,Dumbo (1941),7.2,"Animation, Drama, Family",64 min,Samuel Armstrong,"Norman Ferguson,Wilfred Jackson,Jack Kinney,Bill Roberts,Ben Sharpsteen,John Elliotte,Sterling Holloway,Edward Brophy,Herman Bing,Mel Blanc,","119,841",G
5,Bambi (1942),7.3,"Animation, Drama, Family",70 min,James Algar,"Samuel Armstrong,David Hand,Graham Heid,Bill Roberts,Paul Satterfield,Norman Wright,Arthur Davis,Clyde Geronimi,Hardie Albright,Stan Alexander,Bobette Audrey,Peter Behn,","131,393",U
6,Saludos Amigos (1942),6.1,"Animation, Short, Adventure",42 min,Wilfred Jackson,"Jack Kinney,Hamilton Luske,Bill Roberts,Norman Ferguson,Fred Shields,José Oliveira,Lee Blair,Mary Blair,","5,581",
7,Victory Through Air Power (1943),6.5,"Documentary, Animation, History",70 min,James Algar,"Clyde Geronimi,Jack Kinney,H.C. Potter,Alexander de Seversky,Art Baker,Billy Mitchell,",887,
8,The Three Caballeros (1944),6.4,"Animation, Comedy, Family",71 min,Norman Ferguson,"Clyde Geronimi,Jack Kinney,Bill Roberts,Harold Young,Aurora Miranda,Carmen Molina,Dora Luz,Sterling Holloway,","12,489",
9,Make Mine Music (1946),6.3,"Animation, Adventure, Comedy",75 min,Robert Cormack,"Clyde Geronimi,Jack Kinney,Hamilton Luske,Joshua Meador,Nelson Eddy,Dinah Shore,Benny Goodman,The Andrews Sisters,","3,765",
10,Song of the South (1946),7.1,"Animation, Comedy, Family",94 min,Harve Foster,"Wilfred Jackson,Ruth Warrick,Bobby Driscoll,James Baskett,Luana Patten,","11,380",G
11,Fun & Fancy Free (1947),6.6,"Animation, Adventure, Comedy",73 min,Jack Kinney,"Hamilton Luske,William Morgan,Bill Roberts,Edgar Bergen,Dinah Shore,Luana Patten,Anita Gordon,","7,170",
12,So Dear to My Heart (1948),6.8,"Animation, Drama, Family",79 min,Harold D. Schuster,"Hamilton Luske,Burl Ives,Beulah Bondi,Bobby Driscoll,Luana Patten,","1,297",
13,Melody Time (1948),6.3,"Animation, Comedy, Family",75 min,Clyde Geronimi,"Wilfred Jackson,Jack Kinney,Hamilton Luske,Roy Rogers,Trigger,Dennis Day,The Andrews Sisters,","5,092",
14,The Adventures of Ichabod and Mr,7,"Animation, Comedy, Family",68 min,James Algar,"Clyde Geronimi,Jack Kinney,Bing Crosby,Basil Rathbone,Eric Blore,John McLeish,","13,261",
15,Treasure Island (1950),6.9,"Adventure, Family",96 min,Byron Haskin,"Bobby Driscoll,Robert Newton,Basil Sydney,Walter Fitzgerald,","7,226",
16,Cinderella (1950),7.3,"Animation, Family, Fantasy",74 min,Clyde Geronimi,"Wilfred Jackson,Hamilton Luske,Ilene Woods,James MacDonald,Eleanor Audley,Verna Felton,","145,913",G
17,Alice in Wonderland (1951),7.4,"Animation, Adventure, Family",75 min,Clyde Geronimi,"Wilfred Jackson,Hamilton Luske,Jack Kinney,Kathryn Beaumont,Ed Wynn,Richard Haydn,Sterling Holloway,","129,063",
18,The Story of Robin Hood and His Merrie Men (1952),6.7,"Action, Adventure, Family",84 min,Ken Annakin,"Richard Todd,Joan Rice,Peter Finch,James Hayter,","1,553",
19,Peter Pan (1953),7.3,"Animation, Adventure, Family",77 min,Clyde Geronimi,"Wilfred Jackson,Hamilton Luske,Jack Kinney,Bobby Driscoll,Kathryn Beaumont,Hans Conried,Bill Thompson,","126,797",U
20,Rob Roy: The Highland Rogue (1953),6.3,"Adventure, Biography, Drama",81 min,Harold French,"Richard Todd,Glynis Johns,James Robertson Justice,Michael Gough,",504,
21,The Sword and the Rose (1953),6.4,"Adventure, Drama, Family",92 min,Ken Annakin,"Richard Todd,Glynis Johns,James Robertson Justice,Michael Gough,",754,
22,"20,000 Leagues Under the Sea (1954)",7.2,"Adventure, Drama, Family",127 min,Richard Fleischer,"Kirk Douglas,James Mason,Paul Lukas,Peter Lorre,","29,432",
23,Lady and the Tramp (1955),7.3,"Animation, Adventure, Comedy",76 min,Clyde Geronimi,"Wilfred Jackson,Hamilton Luske,Jack Cutting,Barbara Luddy,Larry Roberts,Peggy Lee,Bill Thompson,","123,137",G
24,The Littlest Outlaw (1955),6.2,"Drama, Family",73 min,Roberto Gavaldón,"Pedro Armendáriz,Joseph Calleia,Rodolfo Acosta,Andrés Velázquez,",205,
25,Davy Crockett: King of the Wild Frontier (1955),7,"Adventure, Drama, Family",93 min,Norman Foster,"Fess Parker,Buddy Ebsen,Basil Ruysdael,Hans Conried,","3,665",
26,"Westward Ho, the Wagons! (1956)",5.8,"Family, Western",90 min,William Beaudine,"Fess Parker,Kathleen Crowley,Jeff York,David Stollery,",292,
27,Davy Crockett and the River Pirates (1956),6.7,"Adventure, Comedy, Drama",81 min,Norman Foster,"Fess Parker,Buddy Ebsen,Jeff York,Kenneth Tobey,","1,795",
28,The Great Locomotive Chase (1956),6.9,"Action, Adventure, Family",85 min,Francis D. Lyon,"Fess Parker,Jeffrey Hunter,Jeff York,John Lupton,","1,056",
29,Old Yeller (1957),7.3,"Adventure, Drama, Family",83 min,Robert Stevenson,"Dorothy McGuire,Fess Parker,Tommy Kirk,Jeff York,","11,911",
30,Johnny Tremain (1957),6.5,"Adventure, Family, History",80 min,Robert Stevenson,"Hal Stalmaster,Luana Patten,Jeff York,Sebastian Cabot,","1,601",
31,Tonka (1958),6.4,"Adventure, Drama, Family",97 min,Lewis R. Foster,"Sal Mineo,Philip Carey,Jerome Courtland,H.M. Wynant,",381,
32,The Light in the Forest (1958),6.5,"Adventure, Drama, Family",83 min,Herschel Daugherty,"Fess Parker,Wendell Corey,Joanne Dru,James MacArthur,",532,
33,The Shaggy Dog (1959),6.5,"Comedy, Family, Fantasy",104 min,Charles Barton,"Fred MacMurray,Jean Hagen,Tommy Kirk,Annette Funicello,","4,438",
34,Sleeping Beauty (1959),7.2,"Animation, Family, Fantasy",75 min,Clyde Geronimi,"Les Clark,Hamilton Luske,Wolfgang Reitherman,Mary Costa,Bill Shirley,Eleanor Audley,Verna Felton,","135,487",G
35,Third Man on the Mountain (1959),7.1,"Adventure, Drama, Family",107 min,Ken Annakin,"Michael Rennie,James MacArthur,Janet Munro,James Donald,",807,
36,Darby O'Gill and the Little People (1959),7.2,"Adventure, Family, Fantasy",93 min,Robert Stevenson,"Albert Sharpe,Janet Munro,Sean Connery,Jimmy O'Dea,","7,142",G
37,Swiss Family Robinson (1960),7.2,"Adventure, Family",126 min,Ken Annakin,"John Mills,Dorothy McGuire,James MacArthur,Janet Munro,","14,260",G
38,Ten Who Dared (1960),5.7,"Adventure, Family, Western",92 min,William Beaudine,"Brian Keith,John Beal,James Drury,R.G. Armstrong,",208,
39,Kidnapped (II) (1959),6.6,"Action, Adventure, Drama",97 min,Robert Stevenson,"Peter Finch,James MacArthur,Bernard Lee,John Laurie,","1,294",
40,Toby Tyler or Ten Weeks with a Circus (1960),7,"Drama, Family",96 min,Charles Barton,"Kevin Corcoran,Henry Calvin,Gene Sheldon,Bob Sweeney,",856,
41,Pollyanna (1960),7.4,"Comedy, Drama, Family",134 min,David Swift,"Jane Wyman,Hayley Mills,Richard Egan,Karl Malden,","9,189",
42,The Sign of Zorro (1958),7.1,"Adventure, Drama, Family",91 min,Lewis R. Foster,"Norman Foster,Guy Williams,Henry Calvin,Gene Sheldon,Romney Brent,",806,G
43,The Absent Minded Professor (1961),6.8,"Comedy, Family, Sci-Fi",92 min,Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,","7,421",
44,Greyfriars Bobby: The True Story of a Dog (1961),7.3,"Drama, Family",91 min,Don Chaffey,"Donald Crisp,Laurence Naismith,Alex Mackenzie,Duncan Macrae,","1,353",
45,The Parent Trap (1961),7.1,"Comedy, Family, Romance",129 min,David Swift,"Hayley Mills,Maureen O'Hara,Brian Keith,Charles Ruggles,","18,990",U
46,Babes in Toyland (1961),6.3,"Comedy, Family, Fantasy",106 min,Jack Donohue,"Ray Bolger,Tommy Sands,Annette Funicello,Ed Wynn,","3,546",
47,One Hundred and One Dalmatians (1961),7.3,"Animation, Adventure, Comedy",79 min,Clyde Geronimi,"Hamilton Luske,Wolfgang Reitherman,Rod Taylor,Betty Lou Gerson,J. Pat O'Malley,Martha Wentworth,","152,994",
48,In Search of the Castaways (1962),6.6,"Adventure, Family, Fantasy",98 min,Robert Stevenson,"Hayley Mills,Maurice Chevalier,George Sanders,Wilfrid Hyde-White,","2,827",
49,The Legend of Lobo (1962),7,"Adventure, Family",67 min,Rex Allen,"Ingvald Lieberkind,Robert Dalban,",457,
50,Almost Angels (1962),6.5,"Comedy, Family, Music",93 min,Steve Previn,"Vincent Winter,Sean Scully,Peter Weck,Hans Holt,",428,
51,Big Red (1962),6.4,"Adventure, Drama, Family",89 min,Norman Tokar,"Walter Pidgeon,Gilles Payant,Émile Genest,Janette Bertrand,",678,
52,Moon Pilot (1962),5.4,"Family, Comedy, Sci-Fi",98 min,James Neilson,"Tom Tryon,Brian Keith,Edmond O'Brien,Dany Saval,",394,
53,Bon Voyage! (1962),5.8,"Family, Comedy, Adventure",130 min,James Neilson,"Fred MacMurray,Jane Wyman,Michael Callan,Deborah Walley,",573,
54,Miracle of the White Stallions (1963),6.6,"Adventure, Drama, Family",118 min,Arthur Hiller,"Robert Taylor,Lilli Palmer,Curd Jürgens,Eddie Albert,",600,
55,Summer Magic (1963),7.1,"Comedy, Family, Musical",110 min,James Neilson,"Hayley Mills,Dorothy McGuire,Burl Ives,Deborah Walley,","2,164",
56,Savage Sam (1963),6.2,"Adventure, Drama, Family",103 min,Norman Tokar,"Brian Keith,Tommy Kirk,Kevin Corcoran,Dewey Martin,",947,
57,The Incredible Journey (1963),7.1,"Adventure, Drama, Family",80 min,Fletcher Markle,"Émile Genest,John Drainie,Tommy Tweed,Sandra Scott,","4,069",
58,The Sword in the Stone (1963),7.2,"Animation, Adventure, Comedy",79 min,Wolfgang Reitherman,"Clyde Geronimi,David Hand,Rickie Sorensen,Sebastian Cabot,Karl Swenson,Junius Matthews,","89,701",U
59,Son of Flubber (1963),6.1,"Comedy, Sci-Fi, Family",100 min,Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,","2,674",
60,Mary Poppins (1964),7.8,"Comedy, Family, Fantasy",139 min,Robert Stevenson,"Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,","158,082",U
61,A Tiger Walks (1964),6.4,"Family, Drama",91 min,Norman Tokar,"Brian Keith,Vera Miles,Pamela Franklin,Sabu,",293,
62,The Misadventures of Merlin Jones (1964),6.4,"Family, Comedy, Sci-Fi",91 min,Robert Stevenson,"Tommy Kirk,Annette Funicello,Leon Ames,Stuart Erwin,",655,
63,The Three Lives of Thomasina (1963),7.2,"Drama, Family",97 min,Don Chaffey,"Patrick McGoohan,Susan Hampshire,Laurence Naismith,Jean Anderson,","2,145",PG
64,The Moon-Spinners (1964),6.7,"Adventure, Family, Mystery",118 min,James Neilson,"Hayley Mills,Eli Wallach,Pola Negri,Peter McEnery,","2,252",
65,Emil and the Detectives (1964),6.2,"Comedy, Family, Drama",99 min,Peter Tewksbury,"Walter Slezak,Bryan Russell,Roger Mobley,Heinz Schubert,",530,
66,That Darn Cat! (1965),6.8,"Comedy, Crime, Family",116 min,Robert Stevenson,"Hayley Mills,Dean Jones,Dorothy Provine,Roddy McDowall,","6,072",
67,The Monkey's Uncle (1965),6.1,"Family, Comedy, Sci-Fi",87 min,Robert Stevenson,"Tommy Kirk,Annette Funicello,Leon Ames,Arthur O'Connell,",755,
