,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
0,3 Idiots (2009),8.4,"Comedy, Drama",170 min,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,","344,707",UA
1,Taare Zameen Par (2007),8.4,"Drama, Family",165 min,Aamir Khan,"Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,Vipin Sharma,","169,050",U
2,PK (2014),8.1,"Comedy, Drama, Musical",153 min,Rajkumar Hirani,"Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani,","163,204",UA
3,Dangal (2016),8.4,"Action, Biography, Drama",161 min,Nitesh Tiwari,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,","156,664",U
4,Rang De Basanti (2006),8.2,"Comedy, Crime, Drama",167 min,Rakeysh Omprakash Mehra,"Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,","111,999",UA
5,Dil Bechara (2020),7.9,"Comedy, Drama, Romance",101 min,Mukesh Chhabra,"Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee,","111,565",12+
6,Lagaan: Once Upon a Time in India (2001),8.1,"Adventure, Drama, Musical",224 min,Ashutosh Gowariker,"Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,","105,118",U
7,My Name Is Khan (2010),8.0,Drama,165 min,Karan Johar,"Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,","98,611",UA
8,"Swades: We, the People (2004)",8.2,Drama,210 min,Ashutosh Gowariker,"Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,","83,034",U
9,Gangs of Wasseypur (2012),8.2,"Action, Comedy, Crime",321 min,Anurag Kashyap,"Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,","82,437",A
10,The Hundred-Foot Journey (2014),7.3,"Comedy, Drama",122 min,Lasse Hallström,"Helen Mirren,Om Puri,Manish Dayal,Charlotte Le Bon,","76,938",PG
11,Barfi! (2012),8.1,"Comedy, Drama, Romance",151 min,Anurag Basu,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz,Saurabh Shukla,","75,755",U
12,Chak De! India (2007),8.2,"Drama, Family, Sport",153 min,Shimit Amin,"Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,","74,197",U
13,Munna Bhai M,8.1,"Comedy, Drama, Musical",156 min,Rajkumar Hirani,"Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,","74,042",U
14,A Wednesday (2008),8.1,"Action, Crime, Drama",104 min,Neeraj Pandey,"Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,","73,906",UA
15,Bajrangi Bhaijaan (2015),8.0,"Action, Adventure, Comedy",163 min,Kabir Khan,"Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,","72,295",UA
16,Andhadhun (2018),8.3,"Crime, Drama, Music",139 min,Sriram Raghavan,"Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,","71,990",UA
17,Drishyam (2015),8.2,"Crime, Drama, Mystery",163 min,Nishikant Kamat,"Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,","70,469",UA
