,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
0,Beasts of No Nation (2015),7.7,"Drama, War",137 min,Cary Joji Fukunaga,"Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote,","73,977",
1,"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)",6.1,"Action, Adventure, Drama",96 min,Woo-Ping Yuen,"Donnie Yen,Michelle Yeoh,Harry Shum Jr.,Natasha Liu Bordizzo,","17,878",PG-13
2,The Fundamentals of Caring (2016),7.3,"Comedy, Drama",97 min,Rob Burnett,"Craig Roberts,Paul Rudd,Selena Gomez,Alex Huff,","59,989",16
3,Rebirth (I) (2016),5,Thriller,100 min,Karl Mueller,"Fran Kranz,Adam Goldberg,Nicky Whelan,Kat Foster,","4,443",
4,Tallulah (2016),6.7,"Comedy, Drama, Romance",111 min,Sian Heder,"Elliot Page,Allison Janney,Tammy Blanchard,Evan Jonigkeit,","18,307",
5,XOXO (2016),5.3,"Drama, Music",92 min,Christopher Louie,"Sarah Hyland,Graham Phillips,Brett DelBuono,Hayley Kiyoko,","6,621",
6,ARQ (2016),6.4,"Action, Sci-Fi, Thriller",88 min,Tony Elliott,"Robbie Amell,Rachael Taylor,Shaun Benson,Gray Powell,","35,100",
7,The Siege of Jadotville (2016),7.2,"Action, Drama, History",108 min,Richie Smyth,"Richard Lukunku,Danny Sapani,Andrew Stock,Mark Strong,","32,164",
8,I Am the Pretty Thing That Lives in the House (2016),4.6,"Drama, Horror, Mystery",89 min,Oz Perkins,"Ruth Wilson,Paula Prentiss,Bob Balaban,Lucy Boynton,","13,046",
9,7 años (2016),6.8,Drama,77 min,Roger Gual,"Juana Acosta,Alex Brendemühl,Paco León,Manuel Morón,","4,399",
10,Mercy (IV) (2016),4.2,"Drama, Mystery, Thriller",90 min,Chris Sparling,"James Wolk,Tom Lipinski,Caitlin FitzGerald,Mike Donovan,","3,030",
11,Spectral (2016),6.3,"Action, Adventure, Sci-Fi",107 min,Nic Mathieu,"James Badge Dale,Emily Mortimer,Bruce Greenwood,Max Martini,","52,560",16
12,Barry (II) (2016),5.8,"Biography, Drama",104 min,Vikram Gandhi,"Devon Terrell,Anya Taylor-Joy,Jason Mitchell,Ellar Coltrane,","6,517",
13,Coin Heist (2017),4.8,"Crime, Drama, Romance",97 min,Emily Hagins,"Alex Saxon,Alexis G. Zall,Sasha Pieterse,Jay Walker,","2,441",
14,Clinical (2017),5.1,"Horror, Thriller",104 min,Alistair Legrand,"Vinessa Shaw,Kevin Rahm,India Eisley,Aaron Stanford,","6,827",
15,iBoy (2017),6,"Action, Crime, Sci-Fi",90 min,Adam Randall,"Bill Milner,Maisie Williams,Miranda Richardson,Rory Kinnear,","20,594",18
16,Imperial Dreams (2014),6.7,Drama,87 min,Malik Vitthal,"John Boyega,Rotimi,Glenn Plummer,De'aundre Bonds,","4,062",
17,I Don't Feel at Home in This World Anymore,6.9,"Comedy, Crime, Drama",93 min,Macon Blair,"Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey,Jared Roylance,","49,054",
18,Burning Sands (2017),6,Drama,96 min,Gerard McMurray,"Trevor Jackson,Tosin Cole,DeRon Horton,Alfre Woodard,","2,575",
19,Deidra & Laney Rob a Train (2017),6.1,"Comedy, Crime, Drama",92 min,Sydney Freeland,"Ashleigh Murray,Rachel Crow,Lance Gray,Danielle Nicolet,","1,625",
20,The Most Hated Woman in America (2017),6.1,"Biography, Drama, History",91 min,Tommy O'Haver,"Melissa Leo,Brandon Mychal Smith,Juno Temple,Michael Chernus,","5,480",
21,The Discovery (I) (2017),6.3,"Drama, Romance, Sci-Fi",102 min,Charlie McDowell,"Robert Redford,Mary Steenburgen,Brian McCarthy,Jason Segel,","29,882",
22,Sand Castle (2017),6.3,"Action, Drama, War",113 min,Fernando Coimbra,"Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Glen Powell,","19,618",16+
23,Tramps (2016),6.5,"Comedy, Romance",82 min,Adam Leon,"Callum Turner,Grace Van Patten,Michal Vondel,Mike Birbiglia,","4,633",
24,Blame! (2017),6.7,"Animation, Action, Drama",106 min,Hiroyuki Seshita,"Takahiro Sakurai,Kana Hanazawa,Sora Amamiya,Mamoru Miyano,","7,025",
25,Shimmer Lake (2017),6.3,"Crime, Drama, Mystery",86 min,Oren Uziel,"Benjamin Walker,Rainn Wilson,Stephanie Sigman,John Michael Higgins,","11,694",
26,Okja (2017),7.3,"Action, Adventure, Drama",120 min,Bong Joon Ho,"Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal,","105,053",UA
27,To the Bone (I) (2017),6.8,Drama,107 min,Marti Noxon,"Rebekah Kennedy,Lily Collins,Dana L. Wilson,Ziah Colon,","41,176",
28,Death Note (I) (2017),4.5,"Action, Crime, Drama",101 min,Adam Wingard,"Nat Wolff,LaKeith Stanfield,Margaret Qualley,Shea Whigham,","76,248",18
29,First They Killed My Father (2017),7.2,"Biography, Drama, History",136 min,Angelina Jolie,"Sareum Srey Moch,Phoeung Kompheak,Sveng Socheata,Mun Kimhak,","15,644",
30,Gerald's Game (2017),6.6,"Drama, Horror, Thriller",103 min,Mike Flanagan,"Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken,","90,037",18
31,Our Souls at Night (2017),6.9,"Drama, Romance",103 min,Ritesh Batra,"Robert Redford,Jane Fonda,Matthias Schoenaerts,Iain Armitage,","11,370",
32,The Meyerowitz Stories (New and Selected) (2017),6.9,"Comedy, Drama",112 min,Noah Baumbach,"Adam Sandler,Grace Van Patten,Dustin Hoffman,Elizabeth Marvel,","42,771",
33,1922 (2017),6.3,"Crime, Drama, Horror",102 min,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard,","53,286",18
34,Wheelman (2017),6.4,"Action, Crime, Thriller",82 min,Jeremy Rush,"Frank Grillo,Caitlin Carmichael,Garret Dillahunt,Shea Whigham,","17,558",
35,Christmas Inheritance (2017),5.7,"Comedy, Drama, Romance",104 min,Ernie Barbarash,"Eliza Taylor,Jake Lacy,Andie MacDowell,Neil Crone,","10,022",
36,Bright (I) (2017),6.3,"Action, Fantasy, Thriller",117 min,David Ayer,"Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez,","168,895",18
